comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен
"оперативно, качественно, вопросов не возникло. спасибо.",1,1,0,0,1
быстро!,1,0,0,0,0
благодарю за оперативность!,1,0,0,0,1
спасибо за оперативное решение проблемы.,1,0,0,0,1
оперативная работа,0,0,0,0,0
оперативное решение проблемы!,1,0,0,0,0
первый раз вы решили вопрос быстро,1,0,0,0,1
надолго ли,0,0,0,0,0
отлично спасибо,0,0,0,0,1
"спасибо большое, татьяна.",0,0,0,0,1
лучший мастер на свете 🥰спасибо большое 🙏,0,0,1,0,1
"спасибо большое, что починили домофон.",0,0,0,0,1
отличная работа,0,0,0,0,0
спасибо огромное за помощь!,0,0,0,0,1
"обычная услуга. цена, правда, завышена (за около 10ти минут работы).",0,0,0,0,0
отличная работа. теперь дверь закрывается плавно. спасибо.,0,0,0,1,1
спасибо большое,0,0,0,0,1
все супер быстро! спасибо!,1,0,0,0,1
оперативно) спасибо,1,0,0,0,1
спасибо.,0,0,0,0,1
"молодцы, оперативно.",1,0,0,0,0
вопрос решился быстро. спасибо!,1,0,0,0,1
спасибо 😉,0,0,0,0,1
александру спасибо за объяснение причины бульканья !,0,0,1,0,1
спасибо! всё быстро!,1,0,0,0,1
спасибо! исправили мою ошибку,0,0,0,0,1
мастер сделал все очень быстро и аккуратно,1,0,0,0,0
спасибо за оперативность,1,0,0,0,1
очень вежливый и профессиональный мастер. устранил все недочеты оперативно и качественно. просто отлично. спасибо,1,1,1,0,1
"иван, огромное спасибо вам !",0,0,0,0,1
среагировали за 20 минут!!!!,0,0,0,0,0
"спасибо специалисту роману, который помог мне наконец-то решить мой вопрос! очень грамотный и вежливый специалист)",0,0,1,0,1
спасибо! в тот же день электрик решил проблему.,0,0,0,0,1
"лифт и полы помыли , большое спасибо за уборку ! ждём установку зеркал в лифтах",0,0,0,0,1
да все верно. спасибо,0,0,0,0,1
спасибо всё бистро устранили,1,0,0,0,1
"спасибо, вроде бы стало лучше.",0,0,0,0,1
спасибо большое за вашу быструю и профессиональную помощь.,1,0,1,0,1
"все быстро, не смотря на поздний час.",1,0,0,0,0
ответ был предоставлен оперативно и в полном объеме,1,0,0,0,0
"спасибо огромное,  напор стал отличным!",0,0,0,0,1
спасибо) там правда все убрали и стало прям чисто) если можете еще отмыть пятна чего-то… буду очень вам признателен) возможно там нужна не только тряпка),0,0,0,0,1
сделали,0,0,0,1,0
спасибо мастеру сергею за четкую работу!,0,0,0,0,1
"наконец - то. очень надеюсь, что через 2 дня он не встанет снова",0,0,0,0,0
"благодарим, очень оперативно!",1,0,0,0,0
"быстро, мастеру большое спасибо",1,0,1,0,1
"вопрос решен быстро, спасибо мастеру. фото выполненной работы приложил и даже позвонил!",1,0,0,0,1
главное что проблема решена! спасибо!,0,0,0,0,1
спасибо.. все сделали быстро .. очень вежливые сотрудники.,1,0,1,1,1
"спасибо, что решили проблему оперативно",1,0,0,0,1
"оперативно, внимательно, вежливо. спасибо.",1,0,1,0,1
"спасибо, всё оперативно сделали!",1,0,0,1,1
была распечатана бумажная квитанция.хочу поблагодарить работника расчетного отдела за разьяснения по квитанции и как найти электронный вариант квитанции в приложение самолет+ук,0,0,0,0,0
заявка быстра принята в работу. проблема решена. спасибо!,0,0,0,0,1
молодцы! быстро! 😁,1,0,0,0,0
спасибо большое за оперативность👍👍👍,1,0,0,0,1
благодарю!,0,0,0,0,1
"спасибо большое,всех благ и процветание вашей компании",0,0,0,1,1
спасибо электрику,0,0,0,0,1
всё грамотно по полочкам объяснил,0,0,1,0,0
благодарю за быстро и качественно оказанную услугу,1,1,0,0,1
спасибо за оперативное решение вопроса!,1,0,0,0,1
"огромное спасибо, быстро и качественно",1,1,0,0,1
спасибо большое за оперативность,1,0,0,0,1
спасибо большое!,0,0,0,0,1
спасибо за ремонт!,0,0,0,0,1
благодарю менеджера татьяну,0,0,0,0,1
благодарю менеджера,0,0,0,0,1
сотрудники молодцы!,0,0,0,0,0
большое спасибо,0,0,0,0,1
большое спасибо,0,0,0,0,1
оперативно и качественно! браво!,1,1,0,0,0
спасибо огромное! оперативно и качественно решили проблему!,1,1,0,0,1
сделали,0,0,0,1,0
спасибо за оперативность,1,0,0,0,1
"поднималась сегодня с утра, запаха нет совсем. спасибо большое",0,0,0,0,1
"специалист проконсультировал, сориентировал по срокам.",0,0,0,0,0
"спасибо, быстро и качественно.",1,1,0,0,1
спасибо.,0,0,0,0,1
спасибо за оперативность 💫💫💫,1,0,0,0,1
все отлично! спасибо,0,0,0,1,1
"спасибо, большое!!!",0,0,0,0,1
спасибо  большое !,0,0,0,0,1
быстро и оперативно,1,0,0,0,0
все отлично,0,0,0,1,0
оперативно. пока работает,1,0,0,0,0
"лика, спасибо вам за оперативный ответ и подробные разъяснения по работе с приложением!",0,0,0,0,1
спасибо большое,0,0,0,0,1
отличный сотрудник,0,0,1,0,0
спасибо мастеру олегу!,0,0,1,0,1
"для точной оценки нужно пережить зиму и понять, лучше стало или нет",0,0,0,0,0
"спасибо большое за оперативность!)👍 уже оценили песочек - очень хороший, чистый))) дети были очень рады что в песочнице достаточное количество песка!)) 🤗",1,0,0,1,1
быстро.качественно.,1,1,0,0,0
спасибо большое всё решили быстро!,1,0,0,0,1
"оперативно, быстро .",1,0,0,0,0
"оказали не только услугу по приобретению ключа,но ещё установили приложение ук самолёт!!!",0,1,0,0,0
приходил мастер все отрегулировал большое спасибо,0,0,0,0,1
оперативно,1,0,0,0,0
спасибо за консультацию,0,0,0,0,1
"парни (установщики) отработали на 5+, а вот упаковка не очень , тк не полный комплект фурнитуры (отсутствовали в комплекте нижняя ответка, пришлось колхозить и отпиливать кусок от старой ответки, а также шурупы отсутствовали)",0,0,0,0,0
спасибо! всё хорошо,0,0,0,0,1
все ок,0,0,0,1,1
сразу бы так,0,0,0,0,1
"ответ получен. 
спасибо что результатом стало уточнение и меня поняли.",0,0,0,0,1
"благодарю за обратную связь. 
за возможность добавить необходимый документ в лк приложения и тем самым решить вопрос не посещая клиентский офис. 
при звонке было вежливое доброжелательное отношение.",0,0,1,0,1
прислали на следующий день.,0,0,0,0,0
очень быстро отреагировали. работа качественная!,1,0,0,0,0
ну устранено,0,0,0,0,0
спасибо за подсказки и внимательное отношение,0,0,1,0,1
сантехник связался сразу. вопрос решен.,1,0,0,0,1
спасибо технику),0,0,1,0,1
благодарю.  всё отлично 👍.,0,1,0,,1
сантехник был,0,0,0,0,1
подсказали куда обратиться для решения вопроса,0,0,0,0,0
спасибо большое за информацию. татьяна молодец!,0,0,0,0,1
"электрик пришёл в день обращения, снял показания, счеткик работает, сотрудник вежливый. благодарю.",0,0,1,0,1
все было сделано быстро и качественно.,1,1,0,0,0
все было сделано быстро и качественно.,1,1,0,0,0
все было сделано быстро и качественно.,1,1,0,0,0
"напор стал гораздо сильнее, небо и земля. быстро поняли причину слабого напора. спасибо",1,0,0,0,1
"спасибо за вашу работу! вычислить бы, кто вырвал предыдущий доводчик и наказать! а вам спасибо!",0,0,0,0,1
да открыла спасибо,0,0,0,0,1
"быстро позвонили, пришли все сделали,спасибо",1,0,0,1,1
"молодцы, очень оперативно!!!!! прям минус одна головная боль",1,0,0,0,0
"очень быстро, качественно. спасибо! 🤝",1,1,0,0,1
спасибо большое за разъяснения и за оперативность,1,0,0,0,1
"сотрудники работают на 5+ ! мгновенно обрабатываются заявки, ответ поступает сразу и всё решается.отличный сервис, очень приятно)",1,0,0,0,0
быстро и понятно,1,0,0,0,0
спасибо за консультацию!,0,0,0,0,1
спасибо за оперативность,1,0,0,0,1
"просто и удобно, а также быстро и экономия времени и ресурсов
.",1,0,0,0,0
отлично все сделано 5 балов.,0,1,0,0,0
"четвёрка за то что выслали только со второго раза. 
нужную квитанцию!",0,0,0,0,0
отлично👍👏😆,0,0,0,0,1
спс,0,0,0,0,1
"спасибо большое, все получила",0,0,0,0,1
"спасибо ,очень оперативно",1,0,0,0,1
"благодарю мастера, всё объяснил и дал рекомендации",0,0,0,0,1
ребята молодцы,0,0,0,0,0
спасибо за оперативное решение,1,0,0,0,1
"оперативно, спасибо",1,0,0,0,1
большое спасибо мастеру!,0,0,1,0,1
"к оказанию самой услуги и сантехнику претензий нет. а вот, то что отключения происходят регулярно - крайне негативно сказывается на впечатление о компании самолет ук",0,0,0,0,0
"специалист компетентно объяснил, что необходимо сделать таких случаях! игорь золотухин 👍",0,0,1,0,0
быстро и чётко,1,0,0,0,0
всё хорошо,0,0,0,0,0
владимир грамотно и здорово и быстро все сделал,1,0,1,0,0
отличный сервис!,0,0,0,0,0
огромное спасибо,0,0,0,0,1
"спасибо! сервис работает, это самое главное :)",0,0,0,0,1
"все отлично,позвонили,ответ предоставили",0,0,0,1,0
заявка была отработана в течение 5-ти минут.  благодарю за оперативность!,1,0,0,0,1
"все отлично, спасибо",0,0,0,1,1
оперативное решение! спасибо),1,0,0,0,1
"татьяна оперативно решила вопрос,очень отзывчивая 👍",1,0,0,0,0
все гуд,0,0,0,0,1
все отлично.👍,0,0,0,1,0
"поприветствовали, предложили присесть. всё быстро оформили. спасибо.",1,0,0,0,1
"спасибо что убрали надпись. думал, будет аккуратнее",0,0,0,0,1
все быстро и четко,1,0,0,0,0
"добрый день! заявка была выполнена качественно, сотрудники грамотные,очень вежливые, большое им спасибо!",0,1,1,0,1
спасибо за помощь от подключившихся инженеров.,0,0,0,0,1
замечательный мастер! все очень оперативно и качественно. добрый человек с золотыми руками! огромное спасибо!!!,1,1,0,0,1
"благодарю, хотя я уже давно просила и получаю на эл.почту, но почему-то ещё и бумажные получала.",0,0,0,0,1
вопрос был решен оперативно) спасибо большое!,1,0,0,0,1
молодцы!,0,0,1,0,1
все ок ) спасибо,0,0,0,1,1
"красавцы, быстро,  оперативно,  очень приятно в общении",1,0,0,0,0
хорошее обслуживание),0,0,0,0,0
спасибо за оперативность,1,0,0,0,1
оперативно как всегда,1,0,0,0,0
"большое спасибо , оперативно поставили ограничители",1,0,0,0,1
"одну звезду сняла за то,что отличается цвет плитки)",0,0,0,0,0
спасибо! быстро и оперативно,1,0,0,0,1
горячая вода появилась.,0,0,0,0,0
"оперативно, спасибо",1,0,0,0,1
спасибо за оперативность,1,0,0,0,1
спасибо за оперативность,1,0,0,0,1
спасибо большое за оперативность 🙌🏻🌸,1,0,0,0,1
вот теперь молодцы,0,0,0,0,0
все отлично бистро устранили мастер хороши,0,0,0,1,1
"спасибо, проблема была решена",0,0,0,0,1
"спасибо за оперативность и грамотный, развёрнутый ответ)",1,0,0,0,1
спасибо большое! заявка выполнена быстро и качественно!,1,1,0,1,1
огромное спасибо,0,0,0,0,1
супер!!!,0,1,0,1,0
выполнено быстро и качественно!,1,1,0,1,0
всё  понятно объяснили.,0,0,0,0,0
большое спасибо василию за проделанную работу!,0,0,1,0,1
"благодарю, помогли, а то до вас никто не мог решить эту проблему, еще раз спасибо)",0,0,0,1,1
"очень оперативно менеджер связался, ответил на вопросы и отправил необходимые документы. благодарю!",1,0,0,0,1
"быстро отреагировали, запустили",1,0,0,0,0
спасибо. оперативно приняли заявку и отремонтировали.лифт работает исправно.,1,0,0,0,1
оперативно и надежно),1,1,0,0,0
"спасибо! услуга оказана очень оперативно, удобный формат. заказала ключ на выходных, в понедельник все было готово. сотрудники вежливые и внимательные👍",1,0,1,0,1
"все супер, очень оперативно и профессионально, спасибо",1,0,0,0,1
спасибо большое,0,0,0,0,1
всё быстро и качественно!👍,1,1,0,0,0
"тот кто  выполнял заявку, чудо! оперативно выполнили. спасибо 👍🏻",1,0,0,1,1
"спасибо,жду бумажные платежные поручения со следующего месяца",0,0,0,0,1
спасибо большое,0,0,0,0,1
"лучший мастер на свете, нужно ему выдать премию",0,0,1,0,0
работает! спасибо,0,0,0,0,1
"спасибо электрику, оперативно пришёл!",1,0,1,0,1
все отлично!,0,0,0,1,0
быстро,1,0,0,0,0
"хотелось, что бы каждый месяц присылали квитанцию на почту или в приложении",0,0,0,0,0
"большое спасибо электрику! ситуация была не из простых, но он обнаружил проблему и смог ее решить",0,0,0,0,1
"сантехник молодец! устранил утечку воды выше по этажу и в нас перестала течь вода. 
молодец!",0,0,0,0,0
спасибо большое за работу и оперативность,1,0,0,0,1
"жалко, что при оплате счетов через банк, в приложении не отображается информация об оплате и приходится загружать квитанции дополнительно и подтверждать факт оплаты",0,0,0,0,0
все быстро и качественно,1,1,0,0,0
"спасибо большое, жаль, что там уже опять намусорили(",0,0,0,0,1
"спасибо, теперь она закрывается",0,0,0,0,1
"можно было и сразу заявку выполнить. не забываете что по периметру несколько контейнеров для пакетов. пакеты кончаются быстро, значит хозяева убирают за собаками.",1,0,0,0,0
"спасибо большое за оперативность,мир и процветание вашей компании самолет!",1,0,0,0,1
выше похвал..,0,0,0,0,0
спасибо за оперативность!,1,0,0,0,1
благодарю за оперативность.,1,0,0,0,1
спасибо..,0,0,0,0,1
"очень вежливая и грамотная сотрудница, побольше бы таких!",0,0,1,0,0
спасибо. прошу загружать квитанции в личный кабинет без дополнительных запросов.,0,0,0,0,1
все прекрасно,0,0,0,0,0
"все быстро и качественно, большое спасибо!",1,1,0,0,1
консультация была проведена профессионально. спасибо за разъяснения и рекомендации,0,0,1,0,1
"спасибо большое, что починили дверь. зашла без проблем. дверь работает отлично.",0,0,0,0,1
спасибо за оперативность.,1,0,0,0,1
огромное спасибо,0,0,0,0,1
спасибо за работу,0,0,0,0,1
быстро,1,0,0,0,0
спасибо за быстрое решение вопроса. лояльность мастера с подбором времени,1,0,0,0,1
"спасибо за обратную связь,надеюсь в приложении информация обновиться,что оплата прошла.",0,0,0,0,1
спасибо за четкость и быстроту!,1,0,0,0,1
"консультация и настройка прибора выполнена очень быстро, качественно и профессионально, спасибо!",1,1,0,0,1
"мастер выполнил работу быстро и чисто, все отлично",1,0,0,1,0
самая лучшая ук . спасибо большое за помощь. за быструю работу и мгновенную выполнения!!!!,0,0,0,0,1
очень быстро👍,1,0,0,0,0
быстро,1,0,0,0,0
спасибо за оперативный ответ😊👍,0,0,0,0,1
очень удобно получать электронную квитанцию.  давно пора.,0,0,0,0,0
оперативно выполнили заявку. спасибо,1,0,0,1,1
спасибо специалисту.,0,0,1,0,1
"жалко, что заранее не предупреждаете, что есть тех проблемы сейчас, как нам узнать - в новости можно написать такое. и нет такого раздела про формирование квитанций в заявках в ук, не сразу поняла, где написать",1,0,0,0,0
огромнейшее спасибо за оперативность❤️,1,0,0,0,1
спасибо огромнейшее за оперативность ❤️,1,0,0,0,1
благодарю за работу!,0,0,0,0,1
все решили! перезвонили . спасибо,0,0,0,0,1
очень быстро все сделали!!!!,1,0,0,1,0
огромное спасибо.,0,0,0,0,1
все отлично.  жаль что для сотрудников компании на данные услуги не действуют скидки.,0,0,0,1,0
очень быстро,1,0,0,0,0
"очень приятный менеджер консультант , которая всё правильно и подробно объясняет.",0,0,1,0,0
спасибо !!!!все супер,0,0,0,0,1
спасибо большое!,0,0,0,0,1
"специалист пришёл очень быстро, все быстро исправил. спасибо.",1,0,1,0,1
"всё супер, вопрос решён быстро)",1,0,0,0,0
очень надеюсь что квитанция будет дублироваться и в приложении. а так оперативно и быстро поступила.,1,0,0,0,0
спасибо большое за быстрое реагирование.,1,0,0,0,1
спасибо девочкам операторам!,0,0,0,0,1
благодарю!,0,0,0,0,1
"менеджер елизавета  очень быстро решила мой вопрос, спасибо!",1,0,0,0,1
"спасибо, но придумайте, пожалуйста, способ как этого избежать на будущее.",0,0,0,0,1
"спасибо за работу, выполнена качественно и в срок",1,1,0,0,1
спасибо !!,0,0,0,0,1
прям молодцы! порадовали) все четко),0,0,0,0,0
алексей профессионал в своем деле! быстро нашел проблему и устранил ее. огромное ему спасибо!,1,0,1,0,
"да, подтверждаю ! вчера вечером обнаружила что устранено. спасибо",0,0,0,0,1
вопрос решён,0,0,0,0,0
спасибо за помощь,0,0,0,0,1
спасибо за помощь,0,0,0,0,1
спасибо! очень быстро сработали!,1,0,0,0,1
добрый день. спасибо за разъяснение. всего вам хорошего.,0,0,0,0,1
молодец электрик оперативно решил проблему,1,0,0,0,0
быстро и аккуратно!благодарю!,1,0,0,0,1
спасибо большое! пусть убирают часто....,0,0,0,0,1
очень оперативно!,1,0,0,0,0
спасибо за оперативность,1,0,0,0,1
все вежливо и информативно ❤️,0,0,1,0,0
спасибо вам за заботу о нас и нашем здоровье.экология -это замечательно,0,0,0,0,1
работа сотрудника офиса ук евгении на 10+,0,1,1,0,0
спасибо.,0,0,0,0,1
спасибо за работу все быстро и качественно.,1,1,0,0,1
спасибо большое! проблема была решена очень быстро!,1,0,0,0,1
все отлично,0,0,0,1,0
менеджеру наталье и дежурного  сантехнику 09.09.2024  большая благодарность  за оперативное решение проблемы.,1,1,1,0,0
отлично!!!,0,0,0,0,0
спасибо! оперативно и в полной мере ответили на мой вопрос 👌,1,1,1,0,1
"быстро, качественно устранил наш засор",1,1,0,0,0
"спасибо, все качественно и профессионально!",0,1,1,0,1
быстро и качественно. спасибо!,1,1,0,0,1
"отличная функция, спасибо",0,0,0,0,1
спасибо за выполненную работу!,0,0,0,0,1
"очень оперативно, благодарю",1,0,0,0,1
спасибо большое!,0,0,0,0,1
"оперативно и четко. сделали аккуратно, прибрались после работы",1,0,0,1,0
спасибо александру за профессионализм и быструю работу.,0,0,0,0,1
спасибо большое!!!🤗,0,0,0,0,1
"все отлично, сделали быстро и не дорого",1,0,0,1,1
спасибо большое за оперативный ответ,0,0,0,0,1
спасибо огромное менеджеру по страхованию евгении гущиной за помощь в оформлении страховки!!!! настоящий профессионал своего дела!!! исчерпывающе ответила на все интересующие вопросы!!!!,0,1,1,0,1
спасибо большое,0,0,0,0,1
"оперативно,профессионально,спасибо",1,0,0,0,1
"специалист связывался по заявке, все починили! спасибо",0,0,0,0,1
"в течении 2 часов после создания заявки все устранили, спасибо",0,0,0,0,1
ремонт выполнен!,0,0,0,0,0
быстро решили проблему! спасибо!,1,0,0,0,1
быстро решили проблему! спасибо!,1,0,0,0,1
"работа мастера, выполнена отлично! проблема решилась только при личном визите в ук",0,1,1,0,0
большое спасибо оксане петриной!,0,0,0,0,1
"всё оперативно,спасибо!",1,0,0,0,1
добрый день! спасибо. вопрос решен.,0,0,0,0,1
все быстро и четко!!! спасибо!,1,0,0,0,1
очень ответственная девушка в ук.,0,0,0,0,0
отлично всё работает,0,0,0,0,0
"благодарность мастеру, сделал быстро и качественно. премию ренату. 🤝",1,1,1,0,0
пришли вовремя) заранее позвонили уточнить удобное время) отличный мастер все сделал быстро и аккуратно),1,0,0,0,0
"отлично, спасибо!",0,0,0,0,1
"все четко объяснили, вопросов не осталось",0,0,0,0,0
"ну вроде получше...
слава богу",1,1,1,1,1
"проблема решена, быстро и оперативно..",1,0,0,0,0
"всё отлично, спасибо!",0,1,0,0,1
очень быстро и вежливо)),1,0,1,0,0
второй специалист все отлично решил. спасибо.,0,0,0,1,1
благодарю за оперативность!,1,0,0,0,1
спасибо.,0,0,0,0,1
благадарю специалиста,0,0,0,0,0
"очень быстро и качественно, спасибо!",1,1,0,0,1
спасибо за оперативность,1,0,0,0,1
спасибо большое! всё сделано супер!,0,0,0,1,1
комод убран. большое спасибо за оперативное решение,1,0,0,0,1
хочу выразить особую благодарность татьяне за проявленный интерес к моему вопросу!,0,0,0,0,0
очень быстро отреагировали и устранили проблему,1,0,0,0,1
спасибо большое за оперативность))),1,0,0,0,1
вот теперь все данные правильно внесены. спасибо.,0,0,0,0,1
спасибо за оперативную помощь,0,0,0,0,1
спасибо! ключи рабочие,0,0,0,0,1
"круто , быстро ,спасибо",1,0,0,0,1
"быстро, эффективно!",1,0,0,0,0
все отлично,0,0,0,1,0
отличный сантехник!,0,0,0,0,0
спасибо!!!,0,0,0,0,1
очень оперативно. спасибо,1,0,0,0,1
как оперативно! благодарю!,1,0,0,0,1
благодарю за оперативность,1,0,0,0,1
быстро среагировали и решили проблему. спасибо!,1,0,0,0,1
быстро сделали.,1,0,0,1,0
благодарю!,0,0,0,0,1
добрый день! вопрос решен очень быстро! благодарю за работу и оперативность),1,0,0,0,1
спасибо за консультацию,0,0,0,0,1
быстро,1,0,0,0,0
"все хорошо, очень доступно все объяснили",0,0,0,0,0
спасибо за оперативность!,1,0,0,0,1
мастер на все руки! спасибо большое 👍👍👍,0,0,0,0,1
оперативно,1,0,0,0,0
отличный мастер,0,0,0,0,0
"да,  спасибо. пока не сломали)",0,0,0,0,1
оперативная работа👍,0,0,0,0,0
оперативно,1,0,0,0,0
все очень быстро и качественно сделал сантехник сергей!,1,1,0,0,0
спасибо огромное 🫶🏼,0,0,0,1,1
"большое спасибо, очень внимательно и клиентоориентированность на высшем уровне",0,0,1,0,1
спасибо большое за оперативное решение,1,0,0,0,1
отличное обслуживание.,0,0,0,0,0
всё решили,0,0,0,0,1
спасибо за оперативность,1,0,0,0,1
"быстро выявили ошибку в показаниях, и не стала делать в убыток мне . позвонила мне , уточнила и решила всё. огромное спасибо вам . ✈️ меняется в лучшую сторону",1,0,0,1,1
спасибо за оперативность!,1,0,0,0,1
ключи работают.,0,0,0,0,0
"спасибо большое!
выполнили работу быстро и аккуратно!",1,0,0,1,1
"все быстро, качественно, как договорились. спасибо.",1,1,0,0,1
всё отлично! спасибо большое!,0,0,0,0,1
самый вежливый работник,0,0,1,0,0
четко и я оперативно,1,0,0,0,0
очень быстро!,1,0,0,0,0
"достаточно быстро, спасибо !",1,0,0,0,1
"оперативно устранили, дали консультацию",1,0,0,0,1
спасибо огромное специалисту за оперативность и профессионализм.,1,0,0,0,1
"напор стал хорошим,  спасибо",0,0,0,0,1
спасибо.,0,0,0,0,1
благодарю за качественную и оперативную работу сотрудников ук! с наилучшими пожеланиями к вам!🙌🏻,0,0,0,0,1
все отлично! спасибо за быстрое устранение проблемы),1,0,0,1,1
"оперативно среагировали, пришло большое количество строителей и помогли убрать всю воду.",1,0,0,0,1
спасибо большое,0,0,0,0,1
виталик молодец.,0,0,0,0,0
"спасибо большое, что все быстро починили!!! спасибо за хорошую работу!",1,0,0,0,1
"была протечка смесителя в ванной, мастер пришел в течении полу часа, поменял прокладки. вопрос решен.",0,0,0,0,1
самый лучший клиентский менеджер!!! всегда идеально решает все вопросы!!!,0,0,0,0,0
